date, pm25, pm10, o3, no2, so2, co
2024/3/21, 55, 27, 46, , 3, 3
2024/3/22, 54, 30, 31, , 3, 3
2024/3/23, 57, 35, 39, , 6, 8
2024/3/24, 80, 36, , , , 
2024/3/26, 34, 23, 25, , 4, 5
2024/3/27, 50, 24, 15, , 3, 6
2024/3/28, 41, 33, 39, , 4, 5
2024/3/29, 57, 22, 35, , 4, 4
2024/3/30, 54, 27, 45, , 6, 2
2024/3/31, 49, 18, 44, , 3, 1
2024/4/1, 41, 16, 34, , 3, 4
2023/10/2, 43, 44, 27, , 3, 3
2023/10/3, 53, 34, 28, , 2, 2
2023/10/4, 51, 45, 32, , 3, 2
2023/10/5, 66, 30, 2, , 3, 5
2023/10/6, 52, , , , , 
2023/10/9, 53, 35, , , 3, 3
2023/10/10, 53, 41, 51, , 5, 6
2023/10/11, 62, 35, 66, , 5, 6
2023/10/12, 55, 43, 60, , 5, 7
2023/10/13, 65, 40, 59, , 6, 5
2023/10/14, 57, 4, 44, , 4, 4
2023/10/15, 42, 25, 65, , 6, 4
2023/10/16, 49, 25, 60, , 5, 2
2023/10/17, 47, 31, 66, , 4, 4
2023/10/18, 52, 31, 60, , 6, 5
2023/10/19, 55, 34, 67, , 5, 5
2023/10/20, 45, 28, 53, , 4, 4
2023/10/21, 47, 29, 61, , 5, 4
2023/10/22, 57, 25, 66, , 5, 4
2023/10/23, 50, 32, 51, , 5, 6
2023/10/24, 53, 20, 51, , 4, 4
2023/10/25, 40, 19, 54, , 3, 4
2023/10/26, 48, 12, 38, , 3, 4
2023/10/27, 31, 13, 28, , 2, 4
2023/10/28, 33, 8, 30, , 3, 5
2023/10/29, 20, 14, 44, , 3, 7
2023/10/30, 36, 19, 48, , 4, 7
2023/10/31, 41, 18, 43, , 3, 2
2023/11/1, 31, 22, 33, , 4, 4
2023/11/2, 57, 24, 40, , 3, 3
2023/11/3, 42, 24, 43, , 3, 3
2023/11/4, 45, 24, 48, , 4, 3
2023/11/5, 40, 27, 53, , 5, 4
2023/11/6, 48, 38, 38, , 6, 4
2023/11/7, 54, 31, 50, , 8, 3
2023/11/8, 46, 33, 55, , 5, 4
2023/11/9, 47, 32, 52, , 4, 3
2023/11/10, 45, 36, 52, , 6, 3
2023/11/11, 39, 31, 55, , 7, 2
2023/11/12, 54, 34, 54, , 4, 2
2023/11/13, 48, 30, 42, , 4, 3
2023/11/14, 43, 38, 56, , 5, 3
2023/11/15, 46, 18, 53, , 3, 2
2023/11/16, 34, 30, 54, , 4, 3
2023/11/17, 38, 41, 56, , 3, 3
2023/11/18, 62, 30, 48, , 4, 3
2023/11/19, 51, 30, 41, , 3, 2
2023/11/20, 44, 22, 30, , 2, 3
2023/11/21, 36, 17, 29, , 2, 3
2023/11/22, 27, 9, 41, , 1, 3
2023/11/23, 29, 15, 42, , 1, 3
2023/11/24, 33, 25, 22, , 4, 3
2023/11/25, 48, 21, 46, , 2, 1
2023/11/26, 45, 22, 51, , 3, 
2023/11/27, 43, 28, 41, , 3, 3
2023/11/28, 39, 26, 36, , 2, 4
2023/11/29, 41, 25, 44, , 2, 2
2023/11/30, 47, 30, 46, , 3, 5
2023/12/1, 44, 37, 47, , 3, 4
2023/12/2, 53, 41, 55, , 4, 3
2023/12/3, 49, 37, 60, , 3, 1
2023/12/4, 48, 36, 49, , 4, 2
2023/12/5, 50, 33, 43, , 2, 3
2023/12/6, 57, 29, 41, , 2, 3
2023/12/7, 70, 26, 39, , 2, 3
2023/12/8, 49, 34, 43, , 3, 2
2023/12/9, 35, 33, 45, , 2, 2
2023/12/10, 27, 35, 46, , 2, 2
2023/12/11, 34, 41, 47, , 3, 3
2023/12/12, 43, 40, 37, , 3, 3
2023/12/13, 43, 34, 42, , 3, 3
2023/12/14, 34, 39, 44, , 2, 3
2023/12/15, 54, 14, 21, , 2, 4
2023/12/16, 26, 12, 23, , 1, 3
