date, pm25, pm10, o3, no2, so2, co,ICA,nDia
2024/8/2, 38, , 35, , 4, 6,20.75,-286
2024/8/3, 56, , 47, , 5, 6,28.50,-287
2024/8/4, 66, , 37, , 5, 5,28.25,-288
2024/8/5, 58, , 31, , 5, 5,24.75,-289
2024/8/6, 60, , 24, , 5, 5,23.50,-290
2024/8/7, 55, , 35, , 5, 5,25.00,-291
2024/8/8, 58, , 37, , 6, 5,26.50,-292
2024/8/9, 65, , 26, , 6, 6,25.75,-293
2024/8/10, 50, , 34, , 6, 8,24.50,-294
2024/8/13, 33, , 40, , 4, 5,20.50,-295
2024/8/14, 47, , 34, , 4, 6,22.75,-296
2024/8/15, 51, , 36, , 5, 5,24.25,-297
2024/8/16, 23, , 40, , 4, 6,18.25,-298
2024/8/17, 30, , 36, , 4, 5,18.75,-299
2024/8/18, 38, , 49, , 4, 5,24.00,-300
2024/8/19, 35, , 39, , 4, 5,20.75,-301
2024/8/20, 40, , 33, , 5, 6,21.00,-302
2024/8/21, 29, , 42, , 7, 6,21.00,-303
2024/8/22, 47, , 37, , 8, 9,25.25,-304
2024/8/23, 54, , 26, , 6, 6,23.00,-305
2024/8/24, 49, , 32, , 10, 4,23.75,-306
2024/8/25, 47, , 45, , 9, 3,26.00,-307
2024/8/26, 49, , 53, , 7, 4,28.25,-308
2024/8/27, 49, , 46, , 7, 5,26.75,-309
2024/8/28, 35, , 53, , 8, 5,25.25,-310
2024/8/29, 39, , 59, , 6, 5,27.25,-311
2024/8/30, 49, , 66, , 6, 5,31.50,-312
2024/8/31, 60, , 93, , 3, 6,40.50,-313
2024/9/1, 68, , 77, , 2, 7,38.50,-314
2024/9/2, 66, , 69, , 3, 8,36.50,-315
2024/9/3, 72, , 63, , 3, 8,36.50,-316
2024/9/4, 66, , 47, , 6, 8,31.75,-317
2024/9/5, 74, , 52, , 4, 7,34.25,-318
2024/9/6, 52, , 51, , 3, 7,28.25,-319
2024/9/7, 56, , 69, , 4, 8,34.25,-320
2024/9/8, 59, , 56, , 4, 6,31.25,-321
2024/9/9, 52, , 51, , 4, 6,28.25,-322
2024/9/10, 45, , 70, , 5, 7,31.75,-323
2024/9/11, 48, , 59, , 5, 6,29.50,-324
2024/9/12, 58, , 61, , 4, 4,31.75,-325
2024/9/13, 52, , 68, , 4, 4,32.00,-326
2024/9/14, 57, , 74, , 4, 3,34.50,-327
2024/9/15, 41, , 54, , 4, 2,25.25,-328
2024/9/16, 39, , 36, , 5, 4,21.00,-329
2024/9/17, 39, , 61, , 5, 3,27.00,-330
2024/9/18, 44, , 66, , 4, 4,29.50,-331
2024/9/19, 46, , 62, , 5, 5,29.50,-332
2024/9/20, 45, , 73, , 5, 7,32.50,-333
2024/9/21, 71, , 56, , 8, 9,36.00,-334
2024/9/22, 74, , 46, , 8, 6,33.50,-335
2024/9/23, 72, , 40, , 5, 6,30.75,-336
2024/9/24, 38, , 28, , 10, 11,21.75,-337
2024/9/25, 196, , 63, , 9, 4,68.00,-338
2024/9/26, 91, , 60, , 10, 7,42.00,-339
2024/9/27, 73, , 55, , 11, 9,37.00,-340
2024/9/28, 70, , 36, , 9, 8,30.75,-341
2024/9/29, 60, , 49, , 11, 7,31.75,-342
2024/9/30, 61, , 50, , 12, 7,32.50,-343
2024/10/1, 59, , 41, , 13, 9,30.50,-344
2024/4/2, 49, , 15, , 10, 4,19.50,-345
2024/4/3, 43, , 20, , 11, 6,20.00,-346
2024/4/4, 68, , 21, , 10, 6,26.25,-347
2024/4/5, 72, , 30, , 6, 7,28.75,-348
2024/4/6, 55, , 33, , 5, 7,25.00,-349
2024/4/7, 61, , 34, , 6, 4,26.25,-350
2024/4/8, 40, , 37, , 5, 6,22.00,-351
