date, pm25, o3, so2, co
2021/6/27, 65, 35, 7, 7
2021/6/28, 59, 26, 9, 9
2021/6/29, 60, 37, 8, 7
2021/6/30, 49, 24, 6, 6
2021/7/1, 40, 33, 12, 6
2021/1/5, 48, 17, 4, 7
2021/1/6, 49, 20, 8, 7
2021/1/7, 57, 35, 4, 6
2021/1/8, 52, 21, 7, 10
2021/1/9, 61, 28, 4, 8
2021/1/10, 61, 32, 3, 7
2021/1/11, 56, 29, 7, 9
2021/1/12, 65, 27, 7, 9
2021/1/13, 60, 30, 6, 8
2021/1/14, 55, 29, 7, 8
2021/1/15, 65, 32, 4, 8
2021/1/16, 58, 29, 3, 7
2021/1/17, 45, 34, 2, 7
2021/1/18, 50, 28, 4, 8
2021/1/19, 58, 33, 5, 8
2021/1/20, 58, 34, 4, 8
2021/1/21, 59, 28, 4, 7
2021/1/22, 56, 14, 4, 7
2021/1/23, 63, 28, 4, 8
2021/1/24, 56, 28, 3, 6
2021/1/25, 50, 25, 6, 8
2021/1/26, 68, 24, 4, 7
2021/1/27, 61, 33, 4, 5
2021/1/28, 54, 31, 3, 5
2021/1/29, 58, 28, 3, 6
2021/1/30, 55, 36, 3, 6
2021/1/31, 48, 36, 3, 5
2021/2/1, 46, 29, 4, 7
2021/2/2, 61, 30, 3, 7
2021/2/3, 59, 31, 6, 8
2021/2/4, 62, 33, 5, 8
2021/2/5, 59, 23, 4, 8
2021/2/6, 65, 32, 5, 9
2021/2/7, 67, 31, , 9
2021/2/8, 55, 27, 7, 8
2021/2/9, 62, 33, 6, 8
2021/2/10, 58, 25, 5, 8
2021/2/11, 55, 20, 3, 7
2021/2/12, 44, 19, 4, 8
2021/2/13, 65, 6, 3, 6
2021/2/14, 69, , , 
2021/2/16, 70, 29, 2, 4
2021/2/17, 51, 28, 3, 5
2021/2/18, 39, 22, 3, 6
2021/2/19, 50, 14, 4, 7
2021/2/20, 45, 23, 4, 7
2021/2/21, 53, 25, 4, 5
2021/2/22, 54, 14, 4, 8
2021/2/23, 57, 34, 6, 9
2021/2/24, 81, 29, 5, 8
2021/2/25, 59, 26, 4, 7
2021/2/26, 58, 20, 4, 7
2021/2/27, 53, 26, 4, 8
2021/2/28, 67, 28, 3, 7
2021/3/1, 54, 23, 4, 7
2021/3/2, 53, 16, 5, 8
2021/3/3, 58, 19, 4, 9
2021/3/4, 60, 27, 5, 11
2021/3/5, 62, 20, 6, 11
