date, pm25, pm10, o3, no2, so2, co
2023/11/24, 44, 25, 14, , 5, 13
2023/11/25, 61, 21, 27, , 5, 10
2023/11/26, 57, 22, 42, , 3, 8
2023/11/27, 46, 28, 34, , 2, 6
2023/11/28, 36, 26, 28, , 3, 9
2023/11/29, 50, 25, 32, , 3, 4
2023/11/30, 63, 30, 43, , 3, 3
2023/12/1, 57, 37, 43, , 3, 1
2023/12/2, 51, 41, 55, , 4, 3
2023/12/3, 55, 37, 62, , 4, 49
2023/12/4, 52, 36, 41, , 4, 78
2023/12/5, 58, 33, 32, , 4, 7
2023/12/6, 61, 29, 27, , 5, 8
2023/12/7, 65, 26, 28, , 2, 8
2023/12/8, 61, 34, 32, , 13, 7
2023/12/9, 53, 33, 41, , 1, 5
2023/12/10, 35, 35, 32, , 3, 7
2023/12/11, 35, 41, 38, , 2, 7
2023/12/12, 45, 40, 27, , 3, 10
2023/12/13, 47, 34, 33, , 5, 7
2023/12/14, 51, 39, 31, , 4, 7
2023/12/15, 61, 14, 13, , 3, 10
2023/12/16, 50, 12, 18, , 1, 9
2023/12/17, 42, 11, 17, , 2, 8
2023/12/18, 37, 19, 19, , 4, 13
2023/12/19, 65, 13, 27, , 2, 8
2023/12/20, 38, 18, 29, , 5, 8
2023/12/21, 51, 26, 27, , 6, 11
2023/12/22, 62, 37, 39, , 5, 11
2023/12/23, 73, 15, 25, , 6, 11
2023/12/24, 56, 26, 47, , 4, 7
2023/12/25, 55, 19, 42, , 3, 6
2023/12/26, 58, 17, 24, , 2, 8
2023/12/27, 41, 13, 21, , 3, 8
2023/12/28, 41, 11, 20, , 2, 7
2023/12/29, 37, 14, 27, , 2, 6
2023/12/30, 43, 12, 27, , 1, 3
2023/12/31, 33, 20, 27, , 2, 6
2024/1/1, 42, 34, 44, , 7, 9
2023/7/2, 35, 36, 38, , 3, 6
