date, pm25, o3, so2, co,ICA,nDia
2021/11/12, 83, 25, 5, 8,30.25,-261
2021/11/13, 72, 17, 4, 8,25.25,-262
2021/11/14, 68, 38, 2, 6,28.50,-263
2021/11/15, 57, 27, 5, 6,23.75,-264
2021/11/16, 68, 25, 4, 6,25.75,-265
2021/11/17, 60, 24, 7, 9,25.00,-266
2021/11/18, 56, 33, 3, 6,24.50,-267
2021/11/19, 48, 21, 4, 6,19.75,-268
2021/11/20, 46, 26, 4, 7,20.75,-269
2021/11/21, 55, 34, 3, 6,24.50,-270
2021/11/22, 56, 17, 6, 7,21.50,-271
2021/11/23, 74, 23, 5, 9,27.75,-272
2021/11/24, 73, 24, 5, 8,27.50,-273
2021/11/25, 57, 22, 10, 12,25.25,-274
2021/11/26, 73, 41, 7, 11,33.00,-275
2021/11/27, 82, 39, 7, 14,35.50,-276
2021/11/28, 65, 54, 11, 11,35.25,-277
2021/11/29, 73, 25, 4, 7,27.25,-278
2021/11/30, 56, 20, 8, 13,24.25,-279
2021/12/1, 83, 25, 10, 11,32.25,-280
2021/12/2, 87, 39, 9, 7,35.50,-281
2021/12/3, 77, 35, 11, 10,33.25,-282
2021/12/4, 84, 35, 8, 9,34.00,-283
2021/12/5, 67, 32, 5, 8,28.00,-284
2021/12/6, 54, 33, 5, 7,24.75,-285
2021/12/7, 54, 32, 10, 8,26.00,-286
2021/12/8, 54, 23, 6, 8,22.75,-287
2021/12/9, 75, 28, 5, 7,28.75,-288
2021/12/10, 62, 27, 4, 8,25.25,-289
2021/12/11, 67, 23, 5, 9,26.00,-290
2021/12/12, 46, 15, 3, 7,17.75,-291
2021/12/13, 40, 15, 4, 7,16.50,-292
2021/12/14, 51, 12, 5, 7,18.75,-293
2021/12/15, 52, 21, 6, 9,22.00,-294
2021/12/16, 64, 18, 5, 8,23.75,-295
2021/12/17, 63, 10, 4, 10,21.75,-296
2021/12/18, 54, 14, 3, 9,20.00,-297
2021/12/19, 65, 21, 4, 6,24.00,-298
2021/12/20, 53, 13, 2, 7,18.75,-299
2021/12/21, 55, 12, 1, 7,18.75,-300
2021/12/22, 50, 22, 2, 7,20.25,-301
2021/12/23, 53, 43, 1, 6,25.75,-302
2021/12/24, 60, 37, 1, 7,26.25,-303
2021/12/25, 63, 35, 1, 6,26.25,-304
2021/12/26, 49, 33, 4, 7,23.25,-305
2021/12/27, 70, 37, 3, 7,29.25,-306
2021/12/28, 76, 40, 4, 9,32.25,-307
2021/12/29, 79, 22, 2, 7,27.50,-308
2021/12/30, 66, 29, 6, 8,27.25,-309
2021/12/31, 74, 40, 3, 7,31.00,-310
2022/1/1, 67, 44, 4, 6,30.25,-311
2022/1/2, 90, 31, 3, 6,32.50,-312
2022/1/3, 56, 38, 8, 7,27.25,-313
2021/7/2, 44, 30, 7, 9,22.50,-314
2021/7/3, 56, 30, 10, 8,26.00,-315
2021/7/4, 52, 41, 4, 5,25.50,-316
2021/7/5, 38, 52, 6, 6,25.50,-317
2021/7/6, 57, 20, 7, 4,22.00,-318
2021/7/7, 36, , , ,36.00,-319
2021/8/6, 59, 33, 6, 7,26.25,-320
